"GPA","Gender","breakfast","calories_chicken","calories_day","calories_scone","coffee","comfort_food_reasons_coded","cook","cuisine","diet_current_coded","drink","eating_changes_coded","eating_changes_coded1","eating_out","employment","ethnic_food","exercise","father_education","fav_cuisine_coded","fav_food","fries","fruit_day","grade_level","greek_food","healthy_feeling","ideal_diet_coded","income","indian_food","italian_food","life_rewarding","marital_status","mother_education","nutritional_check","on_off_campus","parents_cook","pay_meal_out","persian_food","self_perception_weight","soup","sports","thai_food","tortilla_calories","turkey_calories","veggies_day","vitamins","waffle_calories","weight","kg"
3.1,"Male",2,265,2,420,1,2,2,1,2,2,2,13,2,2,1,2,2,5,2,1,3,4,1,4,7,3,1,4,5,2,5,1,1,1,3,1,3,2,1,2,725,345,2,2,900,200,90.719404880704
3,"Female",1,720,3,420,2,1,2,1,3,1,1,2,2,2,3,1,2,4,1,2,5,2,4,8,3,5,3,4,8,2,2,4,1,1,3,2,3,1,1,3,580,345,4,1,1315,135,61.2355982944752
3.9,"Male",1,720,3,420,2,2,5,1,2,2,1,7,1,3,5,1,3,4,1,1,5,1,5,1,8,6,4,5,3,1,2,4,1,1,3,4,2,1,1,5,1165,850,4,2,1315,145,65.7715685385104
3.4,"Female",1,430,2,420,2,7,3,1,2,2,1,3,3,2,4,2,2,1,3,1,3,1,3,4,2,4,3,5,1,1,4,2,1,1,3,3,3,1,2,4,1165,500,2,1,900,130,58.9676131724576
3.5,"Female",2,610,3,420,1,2,3,1,2,2,1,3,3,3,4,1,4,1,1,1,4,4,4,2,3,4,4,5,2,2,4,2,1,3,5,4,4,2,1,4,725,500,2,2,900,190,86.1834346366688
3.7,"Female",1,265,NA,315,2,2,NA,1,4,2,1,3,5,3,4,1,4,1,1,1,3,3,3,8,2,3,3,5,7,1,4,3,1,2,3,3,3,1,1,3,580,345,3,2,575,170,77.1114941485984
3.7,"Female",1,430,3,420,2,2,2,1,2,1,1,2,2,NA,5,NA,2,2,1,1,4,1,5,4,5,1,5,5,1,NA,1,3,1,2,2,5,3,1,1,5,940,690,4,2,1315,127,57.606822099247
3.83,"Female",1,720,3,420,2,3,1,1,1,2,2,5,2,3,5,1,4,2,3,1,5,2,5,9,5,5,5,5,9,2,3,5,1,1,3,4,2,1,1,5,725,690,5,1,760,167,75.7507030753878
2.6,"Female",1,265,3,315,2,1,3,1,3,2,1,2,3,2,3,3,5,4,3,1,5,1,4,7,5,6,2,5,7,2,3,3,1,2,3,3,3,1,2,3,580,500,4,1,760,140,63.5035834164928
3,"Female",1,610,3,420,2,2,2,1,1,2,2,5,1,3,4,2,2,4,3,1,5,1,4,3,5,6,4,5,1,1,4,5,1,1,3,3,4,1,1,4,580,500,4,1,900,190,86.1834346366688
